嘿嘿	嘿嘿 😏
睡觉	睡觉 😴 💤 🛌
流口水	流口水 🤤
哈喇子	哈喇子 🤤
头晕目眩	头晕目眩 😵 💫
头晕眼花	头晕眼花 😵
晕头转向	晕头转向 😵 💫
头晕	头晕 💫
眩晕	眩晕 💫
拉链	拉链 🤐
闭嘴	闭嘴 😠 🤐 🙊
微醉	微醉 🥴
醉	醉 🥴
呕吐	呕吐 🤢 🤮
吐	吐 🤮
鼻涕	鼻涕 🤧
擦鼻涕	擦鼻涕 🤧
擤鼻涕	擤鼻涕 🤧
生病	生病 😷
感冒	感冒 😷
口罩	口罩 😷
量体温	量体温 🤒
绷带	绷带 🤕
缠绷带	缠绷带 🤕
受伤	受伤 🤕
嘴吐钞票	嘴吐钞票 🤑
钱迷	钱迷 🤑
牛仔	牛仔 🤠
童话	童话 👸 👿
恶魔	恶魔 😈 👿
小恶魔	小恶魔 👿
怪物	怪物 👹
恶鬼	恶鬼 👹
鬼怪	鬼怪 👹
魔鬼	魔鬼 👹
天狗	天狗 👺
妖怪	妖怪 👺 👻 🧞
小丑	小丑 🤡
屎	屎 💩
便便	便便 💩
大便	大便 💩
拉屎	拉屎 💩
狗屎	狗屎 💩
幽灵	幽灵 👻
头骨	头骨 💀
骷髅	骷髅 💀 ☠️
骷髅头	骷髅头 💀
死亡	死亡 💀
外星人	外星人 👽
怪兽	怪兽 👾
小精灵	小精灵 👾
机器人	机器人 🤖
南瓜	南瓜 🎃
南瓜灯	南瓜灯 🎃
南瓜灯笼	南瓜灯笼 🎃
万圣节	万圣节 🎃
猫脸	猫脸 🐱 😺 🙀
大笑猫	大笑猫 😺
微笑猫	微笑猫 😸
高兴	高兴 😊 😃 😄 😸
不高兴	不高兴 😒 😠
冷漠	冷漠 😒
愁眉苦脸	愁眉苦脸 😒
郁闷	郁闷 😒
笑出眼泪	笑出眼泪 😂 😹
喜极而泣	喜极而泣 😂 😹
花痴猫	花痴猫 😻
奸笑猫	奸笑猫 😼
不怀好意	不怀好意 😼
胸有成竹	胸有成竹 😼
自信	自信 😼
苦笑	苦笑 😼 😁
亲昵	亲昵 😽
亲暱	亲暱 😽
疲倦猫	疲倦猫 🙀
生气猫	生气猫 😾
抿嘴	抿嘴 😾
无视	无视 😾
怒目	怒目 😾
手掌	手掌 🤲
双手	双手 🤲 👐
欢呼	欢呼 🙌
扬手	扬手 🙌
拍手	拍手 👏
掌声	掌声 👏
鼓掌	鼓掌 👏
精彩	精彩 👏
握手	握手 🤝
合作	合作 🤝
大拇指	大拇指 👍 👎
强	强 👍
厉害	厉害 👍
鄙视	鄙视 😒 👎 🖕
嘲讽	嘲讽 👎
拇指向下	拇指向下 👎
踩	踩 👎
拳头	拳头 👊 ✊
打击	打击 👊
左拳	左拳 🤛
右拳	右拳 🤜
手指交叉	手指交叉 🤞
和平手势	和平手势 ✌️
耶	耶 ✌️
胜利	胜利 ✌️
赢了	赢了 ✌️
摇滚	摇滚 🤘
ok	ok 👌 🆗
准许	准许 🙆
同意	同意 🙆
肯定	肯定 🙆
表意好	表意好 🙆
好的	好的 👌 🆗
好	好 👌 🆗
没问题	没问题 👌 🆗
捏合	捏合 🤌
捏手	捏手 🤏
左食指	左食指 👈
向左	向左 👈
左边	左边 👈
右食指	右食指 👉
向右	向右 👉
右边	右边 👉
上食指	上食指 👆
向上	向上 👆
上边	上边 👆
下食指	下食指 👇
向下	向下 👇
下边	下边 👇
食指	食指 ☝️
第一	第一 ☝️
举手	举手 🙋
打招呼	打招呼 🙋
手掌	手掌 ✋ 🖐
瓦肯举手礼	瓦肯举手礼 🖖
瓦肯	瓦肯 🖖 
手背	手背 🤚
挥手	挥手 👋
再见	再见 👋
拜拜	拜拜 👋
打电话	打电话 🤙
二头肌	二头肌 💪
秀肌肉	秀肌肉 💪
强壮	强壮 💪
肌肉	肌肉 💪
机械手臂	机械手臂 🦾
手臂	手臂 💪 🦾
中指	中指 🖕
书写	书写 ✍️
写字	写字 ✍️
双手合十	双手合十 🙏
祈祷	祈祷 🙏
祈福	祈福 🙏
感谢	感谢 🙏
谢谢	谢谢 🙏
拜托	拜托 🙏
致谢	致谢 🙏
合掌	合掌 🙏
脚	脚 🦶
腿	腿 🦵
机械腿	机械腿 🦿
口红	口红 💄
唇印	唇印 💋
接吻	接吻 💏 💋
红唇	红唇 💋
亲一口	亲一口 😚 💋 😽
嘴	嘴 👄
嘴巴	嘴巴 👄
嘴唇	嘴唇 💋 👄
说话	说话 👄 💬
牙齿	牙齿 🦷
舌头	舌头 👅
尝	尝 👅
耳朵	耳朵 👂
听	听 👂
耳	耳 👂
助听器	助听器 🦻
鼻子	鼻子 👃
鼻	鼻 👃
闻	闻 👃
脚印	脚印 👣
足印	足印 👣
眼睛	眼睛 👁 👀
看	看 👀
眼	眼 👁 👀
心脏	心脏 🫀
肺	肺 🫁
大脑	大脑 🧠
讲话	讲话 🗣
人物	人物 👤
两个人	两个人 👥
婴儿	婴儿 👶 🚼
宝宝	宝宝 👶 🚼
女孩	女孩 👧
儿童	儿童 🧒
男孩	男孩 👦
女人	女人 👩
成人	成人 🔞 🧑
成人节目	成人节目 🔞
男人	男人 👨
父亲	父亲 👨
卷发	卷发 👩‍🦱 🧑‍🦱 👨‍🦱
红发	红发 👩‍🦰 🧑‍🦰 👨‍🦰
金发	金发 👱‍♀️ 👱 👱‍♂️
白发	白发 👩‍🦳 🧑‍🦳 👨‍🦳
光头	光头 👩‍🦲 🧑‍🦲 👨‍🦲
胡须	胡须 🧔
老奶奶	老奶奶 👵
奶奶	奶奶 👵
老人	老人 🧓
老爷爷	老爷爷 👴
爷爷	爷爷 👴
戴帽子	戴帽子 👲
瓜皮帽	瓜皮帽 👲
雷锋叔叔	雷锋叔叔 👲
包头巾	包头巾 👳‍♀️ 👳 👳‍♂️ 🧕
头巾	头巾 👳‍♀️ 👳 👳‍♂️ 🧕
女警察	女警察 👮‍♀️
警官	警官 👮
警察	警察 👮‍♂️ 👮
女建筑工人	女建筑工人 👷‍♀️
建筑工人	建筑工人 👷
工人	工人 👷
男建筑工人	男建筑工人 👷‍♂️
女卫兵	女卫兵 💂‍♀️ 
卫兵	卫兵 💂 💂‍♂️
女侦探	女侦探 🕵️‍♀️
侦探	侦探 🕵️
男侦探	男侦探 🕵️‍♂️
女医护人员	女医护人员 👩‍⚕️
女医生	女医生 👩‍⚕️
医护人员	医护人员 🧑‍⚕️
医生	医生 🧑‍⚕️
男医护人员	男医护人员 👨‍⚕️
男医生	男医生 👨‍⚕️
女农民	女农民 👩‍🌾
农民	农民 🧑‍🌾
男农民	男农民 👨‍🌾
女厨师	女厨师 👩‍🍳
厨师	厨师 🧑‍🍳
男厨师	男厨师 👨‍🍳
女学生	女学生 👩‍🎓
学生	学生 🧑‍🎓
男学生	男学生 👨🏻‍🎓
女歌手	女歌手 👩‍🎤
歌手	歌手 🧑‍🎤
男歌手	男歌手 👨‍🎤
女教师	女教师 👩‍🏫
女老师	女老师 👩‍🏫
教师	教师 🧑‍🏫
老师	老师 🧑‍🏫
男教师	男教师 👨‍🏫
男老师	男老师 👨‍🏫
女工人	女工人 👩‍🏭
工人	工人 🧑‍🏭
男工人	男工人 👨‍🏭
女技术人员	女技术人员 👩‍💻
女程序员	女程序员 👩‍💻
技术员	技术员 🧑‍💻
程序员	程序员 🧑‍💻
男技术员	男技术员 👨‍💻
男程序员	男程序员 👨‍💻
女职员	女职员 👩‍💼
职员	职员 🧑‍💼
男职员	男职员 👨‍💼
女技工	女技工 👩‍🔧
技工	技工 🧑‍🔧
男技工	男技工 👨‍🔧
女科学家	女科学家 👩‍🔬
科学家	科学家 🧑‍🔬
男科学家	男科学家 👨‍🔬
女艺术家	女艺术家 👩‍🎨
艺术家	艺术家 🧑‍🎨
男艺术家	男艺术家 👨‍🎨
女消防员	女消防员 👩‍🚒
消防员	消防员 🧑‍🚒
男消防员	男消防员 👨‍🚒
女飞行员	女飞行员 👩‍✈️
飞行员	飞行员 🧑‍✈️
男飞行员	男飞行员 👨‍✈️
女宇航员	女宇航员 👩‍🚀
宇航员	宇航员 🧑‍🚀
男宇航员	男宇航员 👨‍🚀
女法官	女法官 👩‍⚖️
法官	法官 🧑‍⚖️
男法官	男法官 👨‍⚖️
婚纱	婚纱 👰‍♀️ 👰 👰‍♂️
燕尾服	燕尾服 🤵‍♀️ 🤵 🤵‍♂️
公主	公主 👸
王子	王子 🤴
忍者	忍者 🥷
女超级英雄	超级英雄 🦸‍♀️
女超人	女超人 🦸‍♀️
超级英雄	超级英雄 🦸
超人	超人 🦸
男超级英雄	男超级英雄 🦸‍♂️
男超人	男超人 🦸‍♂️
女反派	女反派 🦹‍♀️
反派	反派 🦹 
男反派	男反派 🦹‍♂️
坏蛋	坏蛋 🦹
圣诞夫人	圣诞夫人 🤶
圣诞老人	圣诞老人 🧑‍🎄 🎅
女巫	女巫 🧙‍♀️
魔法师	魔法师 🧙
男巫	男巫 🧙‍♂️
女精灵	女精灵 🧝‍♀️
精灵	精灵 🧝
男精灵	男精灵 🧝‍♂️
女吸血鬼	女吸血鬼 🧛‍♀️
吸血鬼	吸血鬼 🧛
男吸血鬼	男吸血鬼 🧛‍♂️
女僵尸	女僵尸 🧟‍♀️
僵尸	僵尸 🧟
男僵尸	男僵尸 🧟‍♂️
女妖怪	女妖怪 🧞‍♀️
男妖怪	男妖怪 🧞‍♂️
美人鱼	美人鱼 🧜‍♀️
人鱼	人鱼 🧜
男人鱼	男人鱼 🧜‍♂️
女仙子	女仙子 🧚‍♀️
小仙子	小仙子 🧚
男仙子	男仙子 🧚‍♂️
天使宝宝	天使宝宝 👼
孕妇	孕妇 🤰
哺乳	哺乳 🤱
奶妈	奶妈 🤱
喂奶	喂奶 🤱 🧑‍🍼
奶爸	奶爸 🧑‍🍼
鞠躬女	鞠躬女 🙇‍♀️
鞠躬	鞠躬 🙇
恳求	恳求 🙇 🙏
道歉	道歉 🙇
鞠躬男	鞠躬男 🙇‍♂️
女服务员	女服务员 💁‍♀️
服务员	服务员 💁
男服务员	男服务员 💁‍♂️
不	不 🙅‍♀️ 🙅‍♂️
不可	不可 🙅
反对	反对 🙅
否决	否决 🙅
表意不好	表意不好 🙅
举手女	举手女 🙋‍♀️
举手男	举手男 🙋‍♂️
失聪女	失聪女 🧏‍♀️
失聪	失聪 🧏
耳聋	耳聋 🧏
耳背	耳背 🧏
失聪男	失聪男 🧏‍♂️
捂脸女	捂脸女 🤦‍♀️
捂脸	捂脸 🤦
捂脸男	捂脸男 🤦‍♂️
耸肩女	耸肩女 🤷‍♀️
耸肩	耸肩 🤷
不知道	不知道 🤷
耸肩男	耸肩男 🤷‍♂️
撅嘴女	撅嘴女 🙎‍♀️
撅嘴	撅嘴 😠 😡 😾 🙎
撅嘴男	撅嘴男 🙎‍♂️
皱眉女	皱眉女 🙍‍♀️
皱眉	皱眉 😠 🙍
皱眉男	皱眉男 🙍‍♂️
理发女	理发女 💇‍♀️
理发	理发 💇 💈
剪头	剪头 💇
剃头	剃头 💇
剪发	剪发 💇
理发男	理发男 💇‍♂️
按摩女	按摩女 💆‍♀️
按摩	按摩 💆
美容	美容 💆
按摩男	按摩 💆‍♂️
蒸桑拿女	蒸桑男女 🧖‍♀️
