# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1946
#@/user_id	7ce4dbd7-6f89-4799-8667-6ada7e25db6d
chu xian 	出現	c=2 d=0.237071 t=1946
chuan 	傳	c=1 d=1 t=1934
chuan bo 	傳播	c=2 d=1.97531 t=1531
chuan chuan 	串串	c=1 d=1 t=1935
chuan di 	传抵	c=0 d=0.1 t=1932
chuan di an 	传抵俺	c=1 d=1 t=1933
ci 	次	c=0 d=0.0135335 t=1946
ci hui 	詞彙	c=1 d=1.18841 t=1597
ci hui da quan 	詞彙大全	c=2 d=2.02657 t=1595
ci ku 	詞庫	c=14 d=2.38011 t=1946
ci shi 	此時	c=1 d=0.148823 t=1946
cong 	從	c=1 d=0.687289 t=1946
cong mei 	從沒	c=1 d=1 t=1862
cong na 	從哪	c=1 d=1 t=1189
cong shi 	從事	c=0 d=0.1 t=1464
cong wei you guo 	從未有過	c=1 d=0.425283 t=1946
cu 	麤	c=1 d=1 t=1774
cui 	毳	c=1 d=1 t=1771
cun zai 	存在	c=1 d=1 t=1372
cuo le 	錯了	c=1 d=1 t=1479
cuo wu 	錯誤	c=0 d=0.1 t=934
da 	龘	c=1 d=1 t=1779
da bu chu 	打不出	c=3 d=2.80584 t=1684
da jia 	大家	c=1 d=1 t=1806
da jia kan kan 	大家看看	c=1 d=1 t=1760
da kai 	打開	c=5 d=0.703464 t=1946
da ming ding ding 	大名鼎鼎	c=1 d=0.172045 t=1946
da quan 	大全	c=6 d=4.56793 t=1671
da tang 	大唐	c=0 d=0.1 t=1564
da tang tong xin 	大唐通信	c=1 d=1 t=1565
da xiao 	大小	c=1 d=1 t=992
da yu 	大於	c=1 d=1 t=1482
da yu deng yu 	大於等於	c=2 d=0.235746 t=1946
da zi 	打字	c=2 d=0.205547 t=1946
dai biao 	代表	c=1 d=0.128093 t=1946
dai li 	代理	c=1 d=1 t=1520
dai ma 	代碼	c=7 d=0.836188 t=1946
dan 	但	c=2 d=0.15259 t=1946
dan shi 	但是	c=3 d=0.0737118 t=1946
dan xin 	擔心	c=3 d=0.583745 t=1946
dang 	當	c=2 d=1.01545 t=1818
dang bei 	當貝	c=1 d=0.778801 t=1946
dao 	到	c=4 d=0.637725 t=1946
dao ru 	導入	c=1 d=1 t=1866
dao xu 	倒序	c=1 d=1 t=904
dao zhen 	道真	c=0 d=0.00157644 t=1946
dao zhi 	導致	c=1 d=1 t=1891
de 	的	c=79 d=6.94695 t=1946
de dao 	得到	c=3 d=1.33115 t=1946
de dao jie jue 	得到解決	c=2 d=0.402524 t=1946
deng 	等	c=4 d=0.645942 t=1946
deng lu 	登錄	c=2 d=0.719709 t=1946
di 	第	c=2 d=0.0987662 t=1946
di er ge 	第二個	c=1 d=1 t=945
di fang 	地方	c=26 d=1.26543 t=1946
di fang shi da fu 	地方士大夫	c=1 d=0.0195457 t=1946
di li 	地理	c=1 d=1 t=1579
di qin 	嫡親	c=1 d=1 t=1564
di san fang 	第三方	c=5 d=0.206056 t=1946
di yi ge 	第一個	c=3 d=2.77819 t=962
di zhi 	地質	c=1 d=1 t=1580
dian 	點	c=3 d=0.637628 t=1946
dian fan guo 	電飯鍋	c=2 d=0.3625 t=1946
dian ji 	點擊	c=4 d=0.501269 t=1946
dian nao 	電腦	c=2 d=1.51171 t=1288
dian shi 	電視	c=6 d=3.27387 t=1946
dian shi bang 	電視棒	c=1 d=1 t=1301
dian shi he zi 	電視盒子	c=1 d=1 t=1946
dian shi ju 	電視劇	c=1 d=0.155299 t=1581
dian shi ju ming 	電視劇名	c=1 d=1 t=1582
dian ying 	電影	c=4 d=0.328802 t=1946
diao 	屌	c=1 d=1 t=1785
die zi 	疊字	c=5 d=4.77179 t=1766
ding ding ding ding 	頂頂頂頂	c=0 d=0.1 t=1548
ding zhi 	定製	c=1 d=0.0682212 t=1946
diu shi 	丟失	c=1 d=0.191092 t=1946
dong 	動	c=1 d=0.0290133 t=1946
dong 	懂	c=1 d=0.0305009 t=1946
dong pin xi cou 	東拼西湊	c=1 d=1 t=1827
dong wu 	動物	c=0 d=0.1 t=1583
dong wu ci hui da quan 	動物詞彙大全	c=1 d=1 t=1584
dou yin 	抖音	c=1 d=0.519442 t=1946
du bi 	杜比	c=0 d=0.1 t=1259
du bi shi jie 	杜比視界	c=1 d=1 t=1260
du qu 	讀取	c=1 d=1 t=1571
du wen hui 	都問會	c=1 d=1 t=1605
duan 	端	c=0 d=0.198511 t=1510
duan yu 	短語	c=1 d=1 t=1820
dui 	對	c=1 d=0.10435 t=1946
dui cuo 	對錯	c=1 d=1 t=1489
dui ying 	對應	c=5 d=0.574072 t=1946
duo ge 	多個	c=2 d=1.67032 t=978
duo yi ge 	多一個	c=1 d=1 t=1340
e e 	哦哦	c=0 d=0.1 t=1467
e e e 	鹅鹅鹅	c=0 d=0.1 t=1749
e e e qu xiang xiang tian ge 	哦哦惡趣想想添個	c=1 d=1 t=1468
e e e qu xiang xiang tian ge 	鹅鹅鹅曲项向天歌	c=1 d=1 t=1750
e qu 	惡趣	c=0 d=0.1 t=1467
en 	恩	c=3 d=1.63573 t=1322
en en 	嗯嗯	c=1 d=0.0466538 t=1946
er 	二	c=1 d=1 t=1333
er 	而	c=1 d=0.506617 t=1946
fa 	發	c=2 d=0.0576433 t=1946
fa hua an 	法華庵	c=1 d=0.0200405 t=1946
fa xian 	發現	c=1 d=0.343009 t=1946
fa yan ren 	發言人	c=1 d=1 t=1943
fan de sa 	范德薩	c=2 d=1.88692 t=1674
fan dui 	反對	c=1 d=0.035437 t=1946
fan dui fa 	反對法	c=1 d=0.0267827 t=1946
fan jian ti 	繁簡體	c=1 d=0.0639279 t=1946
fan ye 	翻頁	c=3 d=0.294536 t=1946
fang an 	方案	c=3 d=0.739545 t=1946
fang bian 	方便	c=2 d=0.538348 t=1946
fang da 	放大	c=1 d=1 t=1718
fang fa 	方法	c=3 d=0.576135 t=1946
fang mian 	方面	c=1 d=1 t=1377
fang qi 	放棄	c=3 d=0.813032 t=1946
fang shi 	方式	c=2 d=0.0846652 t=1946
fang zai 	放在	c=1 d=1 t=943
fang zhi 	防止	c=1 d=0.054204 t=1946
fei chang 	非常	c=1 d=0.271173 t=1946
fen xiang 	分享	c=1 d=0.302704 t=1946
feng ge 	風格	c=6 d=0.211143 t=1946
fu hao 	符號	c=2 d=1.3624 t=1693
fu wu qi 	服務器	c=2 d=0.0811219 t=1946
fu za 	複雜	c=0 d=0.1 t=1903
gai 	改	c=1 d=1 t=1335
gai ban 	改版	c=2 d=1.26185 t=1332
gan chu 	感觸	c=1 d=1 t=1083
gan jue 	感覺	c=2 d=0.242926 t=1946
gan xie 	感謝	c=3 d=0.193013 t=1946
gang 	剛	c=2 d=0.708263 t=1946
gao 	搞	c=3 d=0.808977 t=1946
ge 	個	c=4 d=0.357259 t=1946
ge qu 	歌曲	c=0 d=0.1 t=1584
ge qu qu ku 	歌曲曲庫	c=1 d=1 t=1585
ge ren 	個人	c=1 d=1 t=1297
ge ren yin si 	個人隱私	c=1 d=0.441997 t=1946
ge shou 	歌手	c=0 d=0.199501 t=1586
ge shou da quan 	歌手大全	c=1 d=1 t=1586
ge shou ren ming 	歌手人名	c=1 d=1 t=1587
ge xing hua 	個性化	c=1 d=0.0678809 t=1946
ge zhong 	各種	c=1 d=0.422906 t=1946
gei ni 	給你	c=1 d=1 t=1221
gen ju 	根據	c=2 d=0.0804596 t=1946
geng 	更	c=1 d=1 t=1844
geng hao 	更好	c=1 d=0.156453 t=1946
geng hao wan 	更好玩	c=1 d=0.369723 t=1946
geng xin 	更新	c=3 d=0.553149 t=1946
gong gao 	公告	c=1 d=1 t=1142
gong neng 	功能	c=2 d=0.135335 t=1946
gong si 	公司	c=0 d=0.1 t=1941
gu ding 	固定	c=1 d=1 t=1314
gu ge 	谷歌	c=2 d=1.73981 t=1946
gu ge kuang jia 	谷歌框架	c=2 d=1.63765 t=1946
gu ji 	估計	c=1 d=0.88692 t=1946
gu jian 	固件	c=2 d=1.25032 t=1338
gu shi ci 	古詩詞	c=1 d=1 t=1589
gua zai 	掛在	c=1 d=0.140858 t=1946
guan 	官	c=1 d=1 t=1334
guan fang 	官方	c=1 d=1 t=1337
guan gai 	官改	c=4 d=1.67867 t=1645
guan li yuan 	管理員	c=0 d=0.1 t=1143
guan yu 	關於	c=0 d=0.0414783 t=1946
guan yu ge ren yin si 	關於個人隱私	c=1 d=0.416862 t=1946
guo 	過	c=1 d=0.321422 t=1946
guo hang 	國航	c=1 d=0.960789 t=1946
guo hang 	國行	c=1 d=0.97531 t=1946
guo nei 	國內	c=3 d=0.128487 t=1946
guo ran 	果然	c=1 d=1 t=1668
h e l l o 	hello	c=1 d=1 t=1737
ha 	哈	c=8 d=0.299708 t=1946
ha da 	哈達	c=1 d=1 t=1451
ha ha ha 	哈哈哈	c=3 d=0.37074 t=1946
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=1350
ha ha ha ha ha 	哈哈哈哈哈	c=0 d=0.1 t=1549
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=1 d=1 t=1550
ha ou 	哈偶	c=1 d=0.0139818 t=1946
hai shi 	還是	c=3 d=0.562408 t=1946
hai xing 	還行	c=2 d=1.14734 t=1510
hai xu yao 	還需要	c=2 d=0.296198 t=1946
hai you 	還有	c=2 d=0.259279 t=1946
hai you ge 	還有個	c=1 d=1 t=1272
hai you ge zhong 	還有各種	c=1 d=0.440432 t=1946
hai zi 	孩子	c=8 d=6.36594 t=1646
han hua 	漢化	c=1 d=1 t=968
hao 	好	c=19 d=1.6041 t=1946
hao 	浩	c=0 d=0.0532592 t=1946
hao chu 	好處	c=1 d=1 t=1506
hao de 	好的	c=26 d=1.67839 t=1946
hao de ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding de dao ding ding ding ding 	好的頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂得到頂頂頂頂	c=1 d=1 t=1549
hao hao wan 	好好玩	c=1 d=0.278037 t=1946
hao xiang 	好像	c=3 d=0.547956 t=1946
hao yong 	好用	c=1 d=0.348192 t=1946
he 	和	c=18 d=1.54968 t=1946
he a 	呵呵	c=0 d=0.1 t=1676
he zi 	盒子	c=1 d=0.0995012 t=1946
he zuo 	合作	c=1 d=1 t=871
hei ping 	黑屏	c=1 d=1 t=1329
hen duo 	很多	c=1 d=1 t=1867
hen hao 	很好	c=1 d=0.244143 t=1946
hen kuai 	很快	c=1 d=0.0147723 t=1946
